ID,Sex,BM,BH,SH,CA,Dif APHV,APHV,S 0-10,S 10-30,S 0-30,S 30-60,S 0-60,FOST,BOST,TH,FJT,CMJ,DJ,12MR
1,f,82.5,179,96.5,16.85,4.53,12.32,1.98,2.85,4.83,4.17,9,13.82,15.26,6.335,,,,2220
1,f,82.1,179,95,17.96,5.02,12.94,1.94,2.88,4.82,4.27,9.09,13.3,14.64,5.875,,,,
2,f,72.3,167.5,89.5,16.33,3.46,12.87,1.89,2.68,4.57,3.96,8.53,12.9,13.33,6.61,,41.5,1.72,2650
2,f,77.2,168,89,17.44,4,13.44,1.92,2.76,4.68,4.09,8.77,12.89,13.43,6.37,,,,2670
3,f,74.5,175.5,90,14.55,2.84,11.71,1.94,2.98,4.92,4.41,9.33,12.29,12.05,6.095,,29.2,1.53,
3,f,76.3,177,90,15.66,3.47,12.19,1.96,2.87,4.83,4.34,9.17,13.1,12.47,6.08,,,,2400
3,f,76.4,177.6,97.5,17.06,4.66,12.4,,,,,,12.87,14.05,8.00,13.8,38,1.22,2600
4,f,75.4,165.5,90,16.93,3.73,13.21,2.1,2.92,5.02,4.38,9.4,11.7,12.15,5.46,,28,1.19,2250
4,f,76.1,165,92,18.05,4.38,13.66,1.99,2.91,4.9,4.33,9.23,11.53,12,5.185,,,,
5,f,65.5,171,88,16.68,3.66,13.02,1.87,2.75,4.62,4.04,8.66,12.3,13.17,7.56,12.29,,,2130
5,f,61.5,172,89,14.55,2.61,11.94,1.87,2.76,4.63,3.99,8.62,11.57,11.49,6.25,,34.7,2.08,
5,f,66.3,171,89,15.66,3.19,12.47,1.88,2.76,4.64,3.98,8.62,12.75,13.82,6.325,,,,2300
6,f,62.9,168.6,91.5,17.6,4.27,13.33,1.96,2.74,4.71,4.12,8.83,12.5,13.10,7.92,12.79,41.5,1.3,2200
6,f,52.7,165,85,14.48,2.07,12.41,1.98,2.91,4.89,4.25,9.14,10.24,10.18,5.435,,32.4,1.2,
6,f,57.5,166,86,15.59,2.77,12.81,1.93,2.8,4.73,4.14,8.87,10.51,11.55,6.11,,,,
7,f,64.6,180,91,13.14,2.21,10.93,1.9,2.62,4.52,3.79,8.31,11.92,12.8,6.52,,38.9,1.72,
7,f,72,182,92,14.25,2.98,11.27,1.84,2.6,4.44,3.7,8.14,,,6.42,,,,2350
8,f,67.3,180,94,16.69,4.36,12.33,1.97,2.89,4.86,4.15,9.01,12.9,14,6.31,,40.59,1.61,
8,f,68.2,181.5,96,17.63,5.07,12.57,1.93,2.86,4.79,4.33,9.12,12.95,13.25,,12.45,35.7,1.43,
9,f,67.9,174,91,15.34,3.23,12.11,1.83,2.58,4.41,3.72,8.13,15.6,17.25,6.44,,41,2.22,2540
9,f,71,177.0,92,16.28,3.9,12.38,1.81,2.58,4.39,3.74,8.13,15.71,17.72,9.23,15.43,,,
10,f,72.6,181.0,100,17.67,5.29,12.38,1.84,2.83,4.67,4.2,8.87,13.7,13.79,8.35,14.83,35.1,1.79,2610
10,f,69.7,178,96,16.73,4.42,12.31,1.8,2.56,4.36,3.65,8.01,14.6,15.5,7.135,,40.11,1.65,2430
11,f,72.1,168.0,94,15.56,3.33,12.23,1.96,2.99,4.95,4.48,9.43,9.42,10.28,7.38,12.33,29.9,1.25,2050
11,f,71.7,167,92,14.61,2.71,11.91,2,3.06,5.06,4.41,9.47,9.1,9.15,5.375,,31.04,1.32,2095
12,f,56.4,154.0,80,15.59,2.04,13.55,1.83,2.78,4.61,4.08,8.69,10.4,10.47,7.48,13.03,30.9,1.14,2450
12,f,57.1,156,81,14.65,1.71,12.94,1.82,2.85,4.67,4.11,8.78,11.8,10.3,5.815,,35.5,1.03,2220
13,f,71.3,171.5,92,16.36,3.75,12.61,1.73,2.61,4.34,3.8,8.14,15.16,15.62,9.00,15.4,47.4,3,2340
13,f,67.6,168,90,15.42,3.02,12.4,1.79,3,4.79,3.56,8.35,14.3,15.4,6.285,,41.55,2.23,2145
14,f,69,176,91,16.79,4.08,12.71,1.97,2.73,4.7,3.94,8.64,13.4,14,6.24,,37.1,2.11,2600
14,f,73.8,177.0,94,17.73,4.8,12.94,1.83,2.71,4.54,3.93,8.47,14.95,15.56,,,38.2,2.15,2615
14,f,62.7,173.4,91.5,14.63,2.83,11.8,,,,3.85,,11.21,12.11,,,,1.63,2510
15,f,72.8,172,92,15.65,3.4,12.25,,,4.51,3.89,8.4,11.33,,,13.73,,1.11,2375
15,f,73.1,171.4,93,16.49,3.87,12.61,,,,3.69,,13.16,14.73,,,,1.18,2450
16,f,69.2,171,92,14.55,2.78,11.78,,,4.67,4.16,8.83,10.5,,,12.8,,1.64,2360
16,f,74.4,171,94,16.37,3.86,12.51,,,,4.07,,13.23,12.21,,,,1.4,2350
17,f,58.5,165.5,86,15.34,2.63,12.71,1.83,2.82,4.66,4.12,8.84,10.9,12.01,8.21,13.77,36,1.63,2800
17,f,54,163.3,89,13.27,1.58,11.69,,,,3.43,,9.08,9.77,,,,0.9,2640
18,f,81.1,170,91,14.59,2.79,11.8,,,5.07,4.63,9.7,11.07,,,11.36,,1.13,2110
18,f,76.9,170.5,91,15.43,3.2,12.23,,,,3.88,,10.35,12.39,,,,1.16,2050
19,f,95,178.2,94,15.76,3.81,11.95,1.9,2.67,4.57,4.02,8.59,15.29,17.12,6.355,,39.8,1.45,2030
19,f,88.5,177,93,13.81,2.75,11.06,,,4.48,4.1,8.58,13.4,,,12.96,,1.39,2000
